"id","area","feature","user_story","expected_behavior_based_on_code","source_code","test_status","issue_status","fix_status","retest_status","notes"
"US-021","Crane Beam","Crane beam gated calculation","As a user I should only calculate crane beam when crane is enabled.","CraneBeamRunner refuses calculation when building.hasCrane is false; Summary marks crane beam not required if no crane.","src/building/craneBeamRunner.tsx; src/CraneBeamApp.tsx; src/building/summaryReadiness.ts","tested-pass","none","not-needed","not-needed","Automated readiness tests passed on 2026-06-22; manual button behavior remains for UI pass."
"US-022","Crane Beam","Crane beam dynamic calculation","As a user I can run slow crane beam calculation without freezing startup.","CraneBeamRunner dynamically imports craneBeam engine and publishes result with count, length, mass and details.","src/building/craneBeamRunner.tsx; src/building/craneBeamResultPublisher.ts","tested-pass","none","not-needed","not-needed","Automated app infrastructure contract test passed on 2026-06-22; dynamic import remains intact."
"US-023","Summary","Summary automatic calculation on open","As a user I can open Summary and get results without visiting every tab.","SummaryApp automatically runs calculateBuildingResultsForSummary on open if results are stale or missing.","src/SummaryApp.tsx; src/building/calculateBuildingResultsForSummary.ts; src/building/summaryAutoCalculationKey.ts","tested-pass","none","not-needed","not-needed","Core calculation and stale-key tests passed; browser smoke on 2026-07-28 confirmed summary produces results without visiting each tab."
"US-024","Summary","Summary manual recalculate button","As a user I can manually recalculate all summary results after changing parameters.","Button 'Рассчитать всё для сводки' runs core modules, publishes results and shows module errors if any.","src/SummaryApp.tsx; src/building/calculateBuildingResultsForSummary.ts","tested-pass","none","not-needed","not-needed","Core orchestration tests passed; the button was clicked in browser smoke on 2026-07-28 and refreshed matching window-riegel result without console errors."
"US-025","Summary","Summary readiness diagnostics","As a user I can see whether the summary is complete.","Readiness block shows ready/missing/not-required for columns, truss, purlins, roof beam, window riegels and crane beam.","src/building/summaryReadiness.ts; src/SummaryApp.tsx","tested-pass","none","not-needed","not-needed","Automated readiness tests passed on 2026-06-22; no-crane crane beam is not marked missing."
"US-026","Summary","Selected elements table","As a user I can inspect selected profiles, quantities, lengths, mass and cost by element.","buildSummaryRows renders rows for columns, truss, purlins, beam cell, window riegels and crane beam with totals.","src/building/summaryRows.ts; src/SummaryApp.tsx","tested-pass","none","not-needed","not-needed","Automated summary row contract tests passed on 2026-06-22; column breakdown can create multiple rows by length."
"US-027","Summary","Steel totals table","As a user I can see total mass and cost by steel grade.","calculateBuildingSummaryTotalsBySteel aggregates item totals and splits truss cost by section mass.","src/building/summaryTotals.ts; src/SummaryApp.tsx","tested-pass","none","not-needed","not-needed","Automated summary totals tests passed on 2026-06-22; totals match selected element inputs in tests."
"US-028","Summary","Truss section breakdown","As a user I can see truss mass broken down by VP/NP/ORb/OR/RR sections.","SummaryApp renders separate truss section table when truss result has sections.","src/SummaryApp.tsx; src/trussResultPublisher.ts","tested-pass","none","not-needed","not-needed","Feature user story contract and summary/truss publisher tests passed on 2026-06-22."
"US-029","Summary","Column count diagnostics","As a user I can inspect column counts by frame/end/fachwerk logic.","SummaryApp shows detailed count diagnostics based on unified building layout and GIP rule.","src/SummaryApp.tsx; src/building/columnCountSummary.ts; src/building/unifiedBuildingInput.ts","tested-pass","none","not-needed","not-needed","Automated column count summary tests and feature user story contract test passed on 2026-06-22; GIP rule remains documented in knowledge."
"US-030","Summary","Purlin selection controls in summary","As a user I can choose purlin type and split/continuous scheme directly in Summary.","BuildingBlock in Summary exposes purlinSelectionMode and purlinContinuityScheme controls and updates shared building context.","src/SummaryApp.tsx; src/building/purlinSelection.ts","tested-pass","none","not-needed","not-needed","Automated purlin selection/key tests and feature user story contract test passed on 2026-06-22."
"US-031","Knowledge wiki","Engineering memory navigation","As a maintainer I can find project rules, module docs, assumptions and parity sources.","knowledge/ contains README, AGENTS, wiki modules, parity notes, decisions, tasks, raw source registry and lint notes.","knowledge/README.md; knowledge/AGENTS.md; knowledge/wiki/**","tested-pass","none","not-needed","not-needed","Feature user story contract test passed on 2026-06-22 for canonical knowledge entry points."
"US-032","Raw sources guard","Confidential raw-source protection","As a maintainer I should not accidentally commit raw Excel/PDF/DWG/ZIP sources.","knowledge/raw/.gitignore blocks heavy/confidential raw sources while keeping README, gitkeep and source-register.","knowledge/raw/.gitignore; src/rawSourcesGitGuard.test.ts","tested-pass","none","not-needed","not-needed","Automated raw source guard tests passed on 2026-06-22; generated files are a separate concern."
"US-033","Public metadata","Public assets availability","As a user/browser I should get expected public metadata files without app errors.","public assets and generated metadata tests guard expected public files such as favicon/manifest if present.","public/; src/generatedPublicMetadata.test.ts","tested-pass","none","not-needed","not-needed","Automated public metadata tests and build bundle check passed on 2026-06-22."
